episode,avg_waiting_time,avg_queue_length,phase_changes,total_vehicles,passenger,emergency,bus,truck
51,223.42571884984025,7.82667731629393,99,481,481,0,0,0
52,231.60845295055822,7.851674641148326,106,448,448,0,0,0
53,266.3747967479675,8.15609756097561,107,444,444,0,0,0
54,310.0239669421488,9.035537190082644,106,435,435,0,0,0
55,287.7930194805195,8.625,97,486,486,0,0,0
56,322.60583333333335,8.995,103,455,455,0,0,0
57,411.1522542498152,10.583148558758316,95,517,517,0,0,0
58,304.3672496025437,8.892686804451511,96,482,482,0,0,0
59,622.2731092436975,12.043697478991596,104,457,457,0,0,0
60,329.6097750193949,9.615981380915438,91,511,511,0,0,0
61,314.02919708029196,9.188158961881589,99,484,484,0,0,0
62,362.59167333867094,9.957566052842274,99,467,467,0,0,0
63,282.2994257588187,8.770303527481543,97,462,462,0,0,0
64,273.7135636057287,8.428812131423758,102,460,460,0,0,0
65,387.0420371867421,10.356507679870655,98,471,471,0,0,0
66,382.6471067644662,10.475957620211899,98,479,479,0,0,0
67,293.23083197389883,8.71288743882545,106,447,447,0,0,0
68,259.28149920255186,8.496012759170654,98,478,478,0,0,0
69,278.62412451361865,8.571206225680934,98,471,471,0,0,0
70,313.1985472154964,9.158999192897499,98,464,464,0,0,0
71,243.50300429184549,8.188841201716738,103,435,435,0,0,0
72,633.1161290322581,11.49758064516129,99,483,483,0,0,0
73,364.5531752104055,9.71920428462127,92,520,520,0,0,0
74,329.82572614107886,9.748547717842323,104,456,456,0,0,0
75,313.65824915824913,9.096801346801346,102,469,469,0,0,0
76,279.92121684867396,8.239469578783151,98,469,469,0,0,0
77,332.69905956112854,9.102664576802507,99,481,481,0,0,0
78,238.0584307178631,8.148580968280468,106,452,452,0,0,0
79,388.9378109452736,10.145936981757878,103,485,485,0,0,0
80,282.40916808149404,8.31918505942275,103,452,452,0,0,0
81,341.5287260616153,9.65278934221482,105,459,459,0,0,0
82,389.4438687392055,9.821243523316062,102,476,476,0,0,0
83,253.7627551020408,8.318027210884354,101,454,454,0,0,0
84,390.60893854748605,9.834796488427774,99,484,484,0,0,0
85,377.6941266209001,9.958047292143402,93,502,502,0,0,0
86,309.85677749360616,8.903665814151747,104,448,448,0,0,0
87,384.99846977811785,9.68477429227238,101,476,476,0,0,0
88,246.91059602649005,8.208609271523178,105,470,470,0,0,0
89,408.8510984540277,10.344995931651749,106,449,449,0,0,0
90,277.8698915763136,8.878231859883236,101,452,452,0,0,0
91,209.38584667228307,7.581297388374052,104,434,434,0,0,0
92,313.80115036976173,9.198027937551355,97,475,475,0,0,0
93,219.38520408163265,7.585884353741497,103,450,450,0,0,0
94,299.0359231411863,9.031746031746032,103,469,469,0,0,0
95,487.14607614607615,10.909090909090908,102,488,488,0,0,0
96,252.0594827586207,8.256896551724138,101,430,430,0,0,0
97,261.93993993993996,8.18018018018018,106,465,465,0,0,0
98,231.41938250428817,7.756432246998285,103,441,441,0,0,0
99,263.1327868852459,8.361475409836066,96,475,475,0,0,0
100,244.51735537190083,8.411570247933884,97,478,478,0,0,0
101,231.46671949286846,7.591917591125198,99,454,454,0,0,0
102,331.30194552529184,9.243579766536964,92,513,513,0,0,0
103,248.54947707160096,8.324215607401449,96,480,480,0,0,0
104,256.84608843537416,8.203231292517007,103,447,447,0,0,0
105,290.5783738474434,8.658843252305113,104,464,464,0,0,0
